overall,price,name,power,control,rebound,omgang,sweetspot
83,170,Nerbo World Padel Tour,90,84,79,78,86
83,,Quantum 12K Carbon,93,79,86,79,78
83,90,Joker Green 3K,78,81,95,80,81
83,,XCT,96,83,80,75,82
83,249,Hyper Tour 2.0,80,81,86,78,90
83,160,Hyper Tour,73,80,90,80,92
83,,Ultimate Match,81,82,90,74,86
83,195,Ultimate Tour,84,85,85,77,83
83,250,Ultimate Tour,86,84,84,74,85
83,,Ultimate Tour,87,87,83,74,84
83,,Nova Elite Hybrid,80,84,77,85,88
83,269,Nova Elite Victoria,92,87,79,74,81
83,100,Solar Attack PWR II,89,85,91,76,74
83,,RP790 Whip EVA,78,93,68,89,87
83,,Black Carbon Revolution 12K,76,81,85,86,85
83,,Electra Elite 4,83,84,85,91,73
83,,Genesis Hybrid 12K,75,85,93,80,80
83,130,Genesis II Lucho Capra Pro,77,84,94,80,79
83,,Pegasus Oro,74,87,84,86,85
83,,Spartan Luxury,88,86,81,81,80
83,159,Trilogy 3 Hybrid,86,86,79,81,84
83,229,Trilogy 4 Lite Air,64,85,89,88,91
83,,Tsunami 5.0 24K,70,87,89,81,86
83,,Valkiria Elite,66,78,90,91,91
83,135,Aquila Soft,78,78,91,79,87
83,55,Aquila Space 2.0,80,84,83,81,86
83,75,Aquila Speed,74,80,96,81,83
83,,Kraken Pro,91,86,70,81,85
83,103,Titania,75,79,92,79,91
83,70,Titania Kepler 2.0,75,81,91,79,91
83,70,Titania Kepler Speed 2.0,69,77,98,80,92
83,122,Titania Pro,79,84,80,82,91
83,65,Titania Speed,71,73,100,81,90
83,,Triton Pro,100,89,70,76,78
83,100,Triton Speed 2.0,91,89,83,73,81
83,178,Triton Speed,88,90,84,75,79
83,130,Avant Difusor Carbon Black,86,80,84,82,81
83,,Bourne Carbon 2 Prisma,85,81,85,80,86
