overall,price,name,power,control,rebound,omgang,sweetspot
86,145,AT10 Luxury Genius Arena,74,91,84,93,90
86,,AT10 Luxury Genius Arena,69,88,86,93,92
86,205,AT10 Luxury Genius Attack 18K,96,91,79,79,83
86,,AT10 Luxury Genius Hard,76,90,86,91,89
86,115,ML10 Luxury Bahia 12K,82,85,91,85,87
86,125,ML10 Luxury Bahia,80,86,92,86,85
86,124,ML10 Pro Cup,81,89,85,83,91
86,95,ML10 Pro Cup,82,88,83,87,92
86,113,ML10 Pro Cup Black Edition,78,92,85,85,91
86,105,ML10 Pro Cup Luxury,86,90,85,85,84
86,124,ML10 Pro Cup Rough Surface,79,91,86,86,89
86,,ML10 Pro Cup Rough Surface Edition,79,91,83,87,89
86,,ML10 Pro Cup Silver,74,90,86,90,92
86,79,MM2 Pro by Manu Martin,72,86,91,94,85
86,148,MP10 Luxury,65,89,91,95,89
86,109,MP10 Luxury,67,88,92,95,90
86,170,VK10 Future,76,92,79,91,90
86,190,Ampurias,94,84,84,79,89
86,158,Mayerit,71,88,91,86,95
86,,Myrtea Luxury,91,86,86,84,83
86,,Pure Pro Plus,85,91,73,87,93
86,150,Sense Pro,79,88,81,84,96
86,250,Sense Pro,80,89,80,85,94
86,,Sense Pro Classic Series,82,89,81,83,96
86,320,Ultimate Pro,95,91,80,76,86
86,,Ultimate Pro,95,91,82,77,87
86,310,Ultimate Pro Light,92,90,81,80,85
86,330,Ultimate Pro Plus,100,96,77,76,83
86,,Ultimate Pro Smash,85,89,79,91,87
86,280,Nova Elite Momo,81,96,81,85,88
86,140,Solar Attack 2023 Momo Gonzalez,81,94,75,90,91
86,,RP 790 Whip Polietileno,66,92,89,90,95
86,,RP M27 R Line Control X,74,94,87,86,90
86,180,RP790 Whip Polietileno,65,90,92,89,94
86,,Diablo Pro 4,78,85,96,86,85
86,,Diablo Revolution 12K,79,87,93,86,86
86,,Diablo Revolution 24K,80,79,100,85,85
86,,Diablo Revolution 3K,90,91,79,85,84
86,228,Diablo Revolution II Sanyo Pro,85,85,90,86,86
86,129,Diablo Revolution II,92,88,81,84,85
86,138,Diablo Revolution Lite 3,80,85,91,87,85
86,140,Electra ST2 Hybrid,95,89,80,85,80
86,,Electra ST4 Pro Stupa,89,88,80,89,86
86,169,Fenix III Javi Ruiz Pro,94,91,74,84,85
86,,Pegasus Grafeno Black,81,89,92,83,84
86,,Pegasus Grafeno Silver,76,88,95,84,87
86,199,Pegasus GV Edition,81,91,83,90,86
86,179,Pegasus Revolution 3K,85,86,82,90,85
86,219,Pegasus Revolution Cube,82,85,88,92,85
86,139,Spartan Revolution 2,86,92,86,87,79
86,229,Spyder Lite CTRL 3,78,100,72,87,91
86,130,Trilogy Control Especial Edition,72,87,91,89,90
86,,Valkiria Pro,74,85,89,91,90
86,139,Astrum,78,84,90,81,95
86,200,Astrum Pro,84,84,85,80,95
86,124,Basalto,87,85,86,78,92
86,125,Basalto Osiris,79,85,96,80,90
86,246,Basalto Pro,93,92,75,80,90
86,198,Drax Pro Touch,86,84,91,80,87
86,275,Kenta Colours Pro LTD,80,95,79,85,92
86,223,Kenta Pro,85,95,76,84,88
86,100,Metheora,75,90,91,78,94
86,159,Metheora Dual,79,96,82,79,96
86,140,Metheora Warrior,74,91,91,81,95
86,160,Raptor Black Limited Edition,86,95,81,78,90
86,155,Raptor Evolution,85,96,81,79,89
86,153,Raptor Pro Touch,81,86,91,81,90
86,240,Bourne Summum Airflow MY W,100,91,77,84,79
86,249,Bourne Summum Prisma Airflow W,99,91,76,83,82
86,,LW Summum Prisma S,82,89,73,89,96
86,,LW Summum Prisma W,70,84,86,91,97
86,249,Maxima Summum Prisma Airflow S,91,91,75,91,84
86,,Maxima Summum Prisma S,93,91,73,86,87
86,,Black Mamba Radical 12K 2.0,82,83,86,86,91
86,228,King Cobra Classic Edition,96,79,89,84,82
86,,Mamba Pro Black,81,85,81,93,89
86,,Titan Limited Edition,95,83,83,81,87
86,,Yarara Elite 24K 2.0,81,82,92,84,90
86,285,Yarara Elite 24K,82,82,88,87,90
86,,Yarara Pro White,86,86,75,94,91
86,226,Bela Elite V2.5,79,90,84,84,92
86,200,Bela Elite,83,89,84,86,86
86,190,Bela LT V2.5,75,90,85,89,89
86,115,Bela LT,80,90,84,88,86
86,178,Bela Pro V2.5,91,85,77,87,91
86,140,Blade LT V2,68,87,90,94,90
86,163,Blade Pro V2 Black Neon Green,80,90,87,83,91
86,299,Cupra V2,79,91,87,85,89
86,,Cupra,84,89,86,86,84
86,,Defy Pro V1 2025 Javi Garrido,97,91,79,78,84
86,,Klopp Elite,86,90,85,84,87
86,,Pro Staff V2 Azul,65,93,82,95,94
86,150,Pro Staff V2 Black Ray,66,94,82,93,95
86,,Ultra LT V2,61,91,84,100,92
86,145,Ultra Pro V2,74,96,74,95,91
85,369,Adipower Control Multiweight Pro EDT 2024 Alex Ruiz,59,85,97,95,90
85,150,Adipower Light 3.3,61,82,96,95,92
85,245,Adipower Master LTD,64,83,90,98,89
85,300,Cross It Light,63,86,89,95,91
85,,Cross It Light 3.4 2025 - Martita Ortega,61,83,94,97,89
85,175,Metalbone Carbon CTRL,70,85,94,90,85
85,,Metalbone Carbon CTRL 3.4,69,87,94,88,85
85,185,Metalbone CTRL 3.3,78,85,95,80,89
85,,Metalbone Master LTD,91,83,93,79,81
85,,Armageddon Edition A22 RC,83,93,82,81,86
85,,Furia A22 RC,79,85,94,81,85
85,,Oro Furia A22 RC,69,84,89,91,90
85,,Poseidon A22 RC,68,90,90,88,90
85,225,Air Viper,94,84,90,85,74
85,165,Counter Veron,74,90,86,87,88
85,,Counter Veron,74,90,83,86,92
85,130,Counter Viper,81,99,74,84,89
85,,Counter Viper,80,98,74,85,90
